MagX, MagY, MagZ, GyroX, GyroY, GyroZ, AccelX, AccelY, AccelZ, Lum, Time
68.685440,-49.758514,-171.039734,0.071077,0.142814,0.332560,0.028275,-0.048279,-0.818542,0.286644,1455415916.962787
69.899567,-52.036194,-170.870377,0.091269,0.278048,0.282525,0.026031,-0.164917,-0.737595,0.286687,1455415917.032705
71.634048,-50.984955,-169.515610,-0.080798,-0.012996,0.236281,-0.069931,-0.086609,-0.901825,0.287077,1455415917.102809
70.419922,-50.108932,-169.684952,-0.619374,-0.424789,-0.019114,-0.009079,0.004059,-1.177856,0.287357,1455415917.162833
71.634048,-48.532074,-171.886459,-0.250427,0.108581,-0.235195,-0.056396,-0.001160,-1.464447,0.288165,1455415917.232706
71.460602,-45.203156,-171.378418,0.901202,0.650907,-0.241285,-0.235367,0.305832,-1.357346,0.286962,1455415917.302808
71.287155,-44.327133,-172.225159,0.179068,0.248860,-0.409319,-0.124542,0.099991,-0.875580,0.287040,1455415917.362829
71.980942,-45.027954,-172.902542,0.404911,0.530728,-0.439130,0.042984,0.116318,-0.784348,0.288388,1455415917.432732
71.113708,-43.100677,-175.104034,0.197675,0.117615,-0.538638,-0.042328,-0.010452,-0.543533,0.289489,1455415917.502811
71.287155,-41.523834,-177.644226,-0.397775,-0.303967,-0.375519,0.004181,-0.128647,-0.638412,0.289657,1455415917.562837
71.287155,-39.771774,-178.660309,-0.431450,-0.263963,-0.272452,0.086746,-0.125519,-1.052200,0.289000,1455415917.632713
69.205780,-36.618057,-181.369858,-0.304435,-0.171041,0.079593,0.158722,0.109833,-1.432739,0.288164,1455415917.702808
70.073013,-38.194916,-182.893967,-0.020997,0.028039,0.226562,0.237656,0.111771,-1.445206,0.287752,1455415917.762059
67.818192,-37.669296,-185.434158,0.301946,0.019785,0.124825,-0.044159,0.416611,-1.156967,0.288152,1455415917.832693
67.644745,-40.647797,-187.296967,0.418282,0.123694,0.367224,0.319290,-0.114166,-0.702942,0.288452,1455415917.902795
65.043030,-40.823013,-189.159775,-0.412771,-0.352042,0.700789,0.047714,0.097641,-0.807098,0.291473,1455415917.962846
64.696121,-41.523834,-190.514557,-0.150526,-0.110355,0.378550,0.016708,-0.078049,-0.749252,0.291222,1455415918.032694
64.869583,-41.699036,-192.716049,-0.055679,-0.036471,0.389640,0.043457,-0.147446,-0.822617,0.290593,1455415918.102806
63.135101,-41.348618,-193.054749,0.042592,-0.128361,0.166761,-0.073975,-0.159409,-0.932388,0.291002,1455415918.162829
63.481995,-40.647797,-195.425598,-0.859678,-0.107480,-0.088027,-0.054626,0.064026,-1.356995,0.292469,1455415918.232704
60.533371,-38.019714,-196.272324,-1.016541,-0.081699,-0.126885,-0.029739,0.323318,-1.622299,0.292319,1455415918.292738
61.920959,-40.823013,-198.643173,1.405546,0.238986,-0.390202,-0.167755,0.100204,-0.997375,0.290352,1455415918.362827
61.574066,-44.327133,-201.352707,-0.011621,0.310503,-0.330241,-0.153381,0.133591,-0.822433,0.291847,1455415918.432710
60.533371,-42.925476,-202.030090,0.207656,0.234226,-0.525060,-0.066635,0.063431,-0.658295,0.293116,1455415918.502816
58.972336,-45.203156,-202.199448,0.300162,0.529430,-0.374353,-0.015884,0.005432,-0.674057,0.293236,1455415918.562834
62.267853,-47.130417,-202.030090,0.156394,0.104607,-0.444486,-0.017639,-0.130783,-0.792328,0.293483,1455415918.632703
61.574066,-46.079193,-203.384872,-0.138627,0.096318,-0.262733,0.083939,-0.139740,-1.046829,0.293645,1455415918.693034
60.533371,-45.027954,-204.400940,-0.863139,-0.458410,-0.118893,0.159790,-0.044449,-1.364578,0.293309,1455415918.762838
58.451996,-43.275894,-204.739639,-0.776872,-0.224444,0.226088,0.226593,0.402756,-1.635971,0.292750,1455415918.832695
59.666138,-46.604813,-205.247681,1.377852,0.427835,-0.043586,0.071152,0.276108,-1.002136,0.291267,1455415918.892982
61.053726,-50.809753,-204.231598,-0.524726,-0.648280,0.706264,0.098694,0.070908,-0.661621,0.293671,1455415918.962803
58.105103,-51.685776,-203.384872,-0.072117,-0.048016,0.560688,-0.052963,0.018555,-0.635193,0.297135,1455415919.032697
57.411316,-52.036194,-204.739639,-0.407440,-0.060424,0.246139,-0.014053,-0.138550,-0.668762,0.297039,1455415919.092747
58.451996,-52.386597,-204.739639,-0.287329,-0.004252,0.155264,0.017288,-0.137970,-0.951965,0.297890,1455415919.162831
56.544067,-52.211395,-203.215515,0.009206,0.139515,0.113722,-0.050049,-0.084290,-1.132797,0.297465,1455415919.232698
57.064407,-53.087433,-203.723557,-0.441992,-0.272772,-0.166224,-0.049637,0.038467,-1.376572,0.296262,1455415919.292763
56.197174,-52.912216,-201.860748,-0.433259,0.037767,-0.151501,-0.047958,0.271088,-1.445663,0.294978,1455415919.362829
57.411316,-55.189896,-200.336639,0.745755,0.265506,-0.776280,-0.137405,0.008026,-0.963211,0.293634,1455415919.432693
55.503387,-55.014694,-200.505981,-0.003312,0.399697,-0.624341,-0.110550,0.120651,-0.897705,0.295497,1455415919.492803
57.758209,-55.540314,-200.336639,0.254591,0.021278,-0.654546,-0.053787,0.042191,-0.661224,0.296750,1455415919.561826
58.972336,-57.117172,-198.135132,0.213799,-0.071835,-0.657692,0.028854,-0.101715,-0.558868,0.297837,1455415919.632708
57.931656,-55.014694,-199.489899,-0.579587,-0.382425,-0.653617,0.102478,-0.159836,-0.740341,0.298302,1455415919.692761
56.890961,-55.715515,-199.828598,-0.571693,-0.003541,0.096728,0.081528,-0.056625,-1.172562,0.296967,1455415919.762843
55.850281,-54.313873,-199.489899,-0.487085,0.017995,0.036100,0.018600,0.105087,-1.446381,0.295576,1455415919.832815
58.105103,-54.839493,-197.288406,-0.132834,-0.215125,0.246188,0.146301,0.310699,-1.411560,0.292754,1455415919.892911
59.492691,-56.941956,-196.949707,1.574098,1.084229,-0.018292,0.020554,0.090134,-0.744949,0.291484,1455415919.962801
58.105103,-57.642776,-196.611008,-1.170434,-0.842655,0.416912,0.167694,0.100677,-0.833862,0.295599,1455415920.042792
54.636139,-59.044434,-197.288406,-0.208912,0.087573,0.472706,0.011902,0.057709,-0.800400,0.299441,1455415920.092789
54.115799,-59.219635,-196.441666,-0.176222,0.106550,0.149734,0.050812,-0.153473,-0.776169,0.298305,1455415920.162809
55.329926,-57.292374,-196.949707,-0.137195,-0.194549,0.148374,0.072922,-0.133011,-0.959808,0.298107,1455415920.232772
54.115799,-59.920456,-195.764282,0.116934,0.186953,-0.024161,-0.003128,-0.131149,-1.082458,0.297500,1455415920.292804
53.942352,-57.642776,-196.611008,0.114324,-0.070489,-0.344929,-0.084518,-0.049347,-1.387512,0.297594,1455415920.362852
52.728210,-60.621292,-196.441666,-0.160401,-0.235503,-0.135156,-0.101288,0.262939,-1.422653,0.294994,1455415920.432795
54.809586,-62.022934,-196.102982,0.185908,-0.033265,-0.608833,-0.090286,0.055710,-0.990265,0.293632,1455415920.492804
54.462692,-61.322113,-196.102982,-0.016588,0.250724,-0.400879,-0.082748,0.173721,-0.886169,0.296152,1455415920.563089
53.421997,-61.672516,-195.086899,0.164767,0.185247,-0.750340,-0.066772,0.029526,-0.550079,0.297395,1455415920.632796
56.370621,-61.847733,-194.578857,-0.271476,-0.191834,-0.657508,0.034592,-0.095352,-0.606567,0.299204,1455415920.692799
55.676834,-61.146896,-195.256241,-0.396682,0.012850,-0.214012,0.028915,-0.074341,-0.964645,0.299226,1455415920.762848
56.717514,-60.446075,-193.562790,-0.513683,-0.155193,-0.051420,0.041794,0.077316,-1.291016,0.297501,1455415920.832844
55.676834,-58.343613,-192.208008,-0.265623,0.080164,-0.214257,0.096832,0.125977,-1.469284,0.295308,1455415920.892848
55.503387,-58.869232,-192.716049,0.597749,-0.023589,0.310915,0.013824,0.375107,-1.188950,0.291615,1455415920.962794
58.451996,-64.300613,-191.191940,0.812937,0.498398,0.046213,0.279617,-0.011078,-0.759033,0.291735,1455415921.032808
56.023727,-63.950195,-190.175858,-0.493612,-0.253875,0.757919,0.034378,0.167267,-0.831802,0.298023,1455415921.092793
56.717514,-63.249374,-191.530624,-0.127236,0.034227,0.464798,0.018829,-0.105957,-0.647690,0.298423,1455415921.162839
57.931656,-62.022934,-188.651733,-0.234598,0.204248,0.311386,0.018524,-0.137634,-0.801605,0.298525,1455415921.232809
54.462692,-62.373352,-190.345200,0.092839,-0.034415,0.304082,0.001099,0.044067,-1.130966,0.298176,1455415921.292793
55.156479,-63.074173,-187.974350,-0.234614,-0.294118,-0.067185,-0.015198,-0.030975,-1.164490,0.297355,1455415921.362914
54.809586,-62.373352,-189.667816,-0.033005,-0.257089,-0.611581,-0.073532,-0.099091,-1.296707,0.297860,1455415921.432804
54.636139,-60.446075,-189.159775,0.520732,0.501331,-0.328406,-0.158813,0.230087,-1.284058,0.295664,1455415921.492777
56.890961,-59.920456,-187.974350,-0.173337,-0.150999,-0.675307,-0.061630,0.093903,-0.966919,0.292548,1455415921.562891
58.105103,-61.497314,-187.466324,0.314070,0.135914,-0.589349,-0.018585,0.109116,-0.817825,0.294859,1455415921.632791
56.544067,-59.219635,-187.635666,0.469602,0.278883,-0.673985,-0.046738,0.024261,-0.574600,0.297092,1455415921.692792
61.053726,-58.518814,-186.619583,0.455168,0.859688,-0.664290,-0.074173,-0.108322,-0.564270,0.299950,1455415921.762800
60.359924,-58.518814,-186.619583,-0.730435,-0.500213,-0.604954,0.117767,-0.066010,-1.096161,0.300428,1455415921.832833
60.186478,-55.189896,-188.482391,-0.538739,-0.594549,-0.332033,0.220093,-0.005432,-1.302658,0.298634,1455415921.892741
59.319244,-55.014694,-187.296967,-0.247979,-0.108614,0.098692,0.447876,-0.028778,-1.426163,0.297241,1455415921.962776
58.278549,-52.912216,-188.313049,1.284254,0.529147,0.982719,0.178009,0.519409,-1.335541,0.296683,1455415922.032794
58.105103,-55.540314,-188.143707,0.292266,-0.382647,1.137362,0.229141,0.082550,-0.584930,0.295585,1455415922.092793
57.411316,-56.591553,-186.450241,-0.461196,0.030002,1.087694,0.025284,0.064133,-0.704178,0.301946,1455415922.162797
56.544067,-57.817993,-187.635666,-0.552241,-0.063487,0.996730,0.003189,-0.118454,-0.684448,0.300419,1455415922.232632
56.197174,-56.766754,-187.296967,-0.627546,-0.245134,0.883073,0.043289,-0.091385,-0.835175,0.297999,1455415922.292796
54.462692,-56.416336,-187.974350,0.071468,0.024735,0.589346,0.029343,-0.029053,-1.084656,0.295680,1455415922.362766
54.289246,-56.591553,-188.821091,-0.129360,-0.064647,0.413111,0.080521,-0.004196,-1.200546,0.294331,1455415922.432805
55.503387,-56.416336,-186.958282,0.407389,-0.200078,0.107678,0.022614,-0.236206,-1.378876,0.295159,1455415922.492793
53.075104,-55.365112,-186.958282,-0.461326,0.520805,1.116163,-0.121002,0.639206,-1.456512,0.295241,1455415922.562827
53.768906,-58.869232,-185.264816,0.900293,-0.434025,-0.219056,0.001526,0.021774,-0.689682,0.293873,1455415922.632809
53.075104,-57.467575,-186.280899,-0.206926,-0.099182,0.270516,-0.039474,0.172180,-0.797150,0.305817,1455415922.692799
53.075104,-57.467575,-186.619583,-0.129586,0.261702,0.245884,0.021729,-0.022095,-0.559036,0.311915,1455415922.762068
51.687515,-58.518814,-184.587433,-0.499687,-0.114236,0.554398,0.126129,-0.071396,-0.776215,0.314569,1455415922.832952
52.207870,-57.292374,-184.418091,-0.429810,-0.164825,0.801732,0.090790,0.020340,-1.087830,0.314067,1455415922.892855
52.207870,-56.941956,-184.756775,-0.156209,-0.122311,0.656118,0.069504,0.018066,-1.126724,0.309039,1455415922.962806
50.993729,-55.365112,-183.571350,-0.102035,-0.158411,1.004441,0.277405,0.194397,-1.395065,0.304241,1455415923.032793
50.473389,-55.540314,-182.047241,-0.623599,-0.154366,1.811466,0.394928,0.595917,-1.350952,0.300993,1455415923.092798
49.259247,-55.715515,-183.232666,1.460358,0.469880,2.080271,0.314407,0.411560,-0.739822,0.301895,1455415923.162793
48.912354,-57.817993,-180.184433,-0.873116,-0.053539,3.161590,0.222458,0.317078,-0.648743,0.307577,1455415923.232801
47.004425,-57.292374,-181.369858,-0.434342,-0.047050,2.950594,0.050323,0.275101,-0.706772,0.313798,1455415923.292795
44.055801,-56.766754,-178.490967,-0.652613,-0.271582,2.511611,-0.040054,0.282730,-0.910477,0.304917,1455415923.362797
42.841675,-56.591553,-178.660309,0.109613,-0.261473,1.905293,-0.026398,0.201233,-1.107544,0.297632,1455415923.432791
40.413391,-58.694016,-177.305542,0.266309,-0.283107,1.602631,-0.000259,0.039429,-1.102020,0.292385,1455415923.492789
39.372711,-58.343613,-175.950775,0.423495,-0.628884,1.317187,-0.033661,0.101471,-1.236923,0.289459,1455415923.562790
38.332016,-57.642776,-174.257309,-0.473058,-0.517439,1.305597,0.014923,0.165634,-1.222809,0.287659,1455415923.622759
36.250641,-57.642776,-173.241226,1.387995,0.446691,0.747191,-0.136688,0.299774,-1.041336,0.287289,1455415923.692567
33.648926,-58.518814,-174.426651,-0.404790,0.099909,1.116413,0.057983,0.149597,-0.791428,0.286731,1455415923.761838
32.955124,-56.766754,-173.410583,-0.247563,-0.417403,1.341727,0.186417,0.177765,-0.899353,0.289469,1455415923.832817
31.220642,-54.664276,-172.055801,-0.009691,0.135525,1.777576,0.178009,0.035492,-0.778290,0.290602,1455415923.892829
